Date;Open;High;Low;Close;Volume
23.03.2015;533.25;540.5;498.25;507.75;302355
30.03.2015;513.25;544.25;506.0;536.25;369681
06.04.2015;537.5;543.75;513.75;526.5;416359
13.04.2015;518.0;520.0;489.0;494.5;384812
20.04.2015;495.0;506.5;485.0;486.0;180634
27.04.2015;486.5;488.0;460.0;470.0;53414
04.05.2015;471.75;478.25;460.0;476.5;1246
11.05.2015;473.5;519.75;472.75;511.0;244611
18.05.2015;511.0;530.25;503.0;515.25;425281
25.05.2015;515.25;519.75;474.5;477.0;367879
01.06.2015;478.0;534.0;474.0;517.0;548737
08.06.2015;517.0;537.5;500.5;503.75;528417
15.06.2015;503.75;503.75;483.5;488.5;341217
22.06.2015;487.75;566.25;487.25;562.25;274189
29.06.2015;557.0;615.75;556.5;585.75;44293
06.07.2015;580.0;591.25;565.0;581.5;3028
13.07.2015;581.5;589.75;546.0;554.0;265660
20.07.2015;553.0;553.0;509.5;511.75;315933
27.07.2015;511.0;512.5;493.75;499.25;342532
03.08.2015;497.25;514.0;490.5;510.5;360462
10.08.2015;512.0;530.0;484.0;506.5;410235
17.08.2015;504.75;509.25;491.0;499.5;195777
24.08.2015;498.75;511.25;476.0;477.0;154428
31.08.2015;477.0;488.5;455.5;457.75;11839
07.09.2015;456.75;475.5;456.75;475.5;634
14.09.2015;483.75;503.25;480.0;486.75;282024
21.09.2015;485.75;510.5;480.5;507.75;309861
28.09.2015;508.5;523.75;498.25;513.25;376203
05.10.2015;512.25;531.5;504.0;509.25;338093
12.10.2015;507.75;521.75;489.75;492.25;299646
19.10.2015;491.25;500.75;483.25;490.5;281778
26.10.2015;493.25;523.5;493.25;522.0;442657
02.11.2015;520.0;530.75;505.75;523.25;455363
09.11.2015;520.5;521.25;488.0;495.75;486191
16.11.2015;494.75;498.0;480.5;488.5;246647
23.11.2015;485.0;497.25;465.0;465.75;134193
30.11.2015;460.75;471.25;451.25;471.25;12373
07.12.2015;474.75;491.25;466.5;482.75;532
14.12.2015;488.0;499.0;472.25;486.75;289530
21.12.2015;486.0;491.0;467.25;467.5;152775
28.12.2015;468.0;479.5;466.0;470.0;132583
04.01.2016;472.75;480.0;456.0;478.5;328228
11.01.2016;481.25;484.25;462.5;473.75;357914
18.01.2016;475.0;480.0;467.25;475.5;226042
25.01.2016;476.0;488.5;470.5;479.25;333669
01.02.2016;476.25;483.0;465.5;466.75;418258
08.02.2016;466.0;468.75;455.0;457.5;473391
15.02.2016;460.25;470.0;459.75;461.75;285341
22.02.2016;461.0;463.25;438.0;443.25;192695
29.02.2016;446.25;458.5;435.25;454.75;5855
07.03.2016;460.0;472.75;454.75;469.75;696
14.03.2016;469.0;479.25;457.5;463.0;250889
21.03.2016;468.75;472.0;458.5;463.0;181795
28.03.2016;465.75;477.5;455.25;475.75;364256
04.04.2016;476.0;479.0;456.25;460.25;331888
11.04.2016;458.0;466.75;446.0;459.75;470743
18.04.2016;461.75;510.75;460.5;467.0;372408
25.04.2016;466.75;486.75;462.0;478.0;84721
02.05.2016;476.0;481.5;452.75;453.25;3616
09.05.2016;454.75;466.0;446.0;465.0;76402
16.05.2016;474.0;484.75;462.5;467.75;339210
23.05.2016;466.0;484.75;457.75;481.5;345937
30.05.2016;481.0;498.25;463.0;497.25;372448
06.06.2016;496.0;524.0;494.25;495.0;602755
13.06.2016;495.5;503.25;471.0;481.25;417969
20.06.2016;480.5;480.75;441.75;454.75;261039
27.06.2016;454.75;460.0;414.25;416.25;60989
04.07.2016;416.25;424.0;405.0;420.75;916
11.07.2016;423.5;439.75;415.5;424.75;149402
